,Result,Result,Result,Result,Result,Result,Result,Result,Result,Result
Dealer_Upcard,2,3,4,5,6,7,8,9,10,11
Hard_Total,,,,,,,,,,
4,-0.3333333333333333,-0.6666666666666666,0.2222222222222222,0.38461538461538464,-0.6666666666666666,-0.7333333333333333,-0.6,-0.2727272727272727,-0.3181818181818182,-0.2
5,-0.21212121212121213,-0.2,-0.13043478260869565,-0.3103448275862069,-0.5172413793103449,-0.5,-0.4782608695652174,-0.7391304347826086,-0.5533980582524272,-0.2727272727272727
6,-0.42857142857142855,-0.25925925925925924,-0.16129032258064516,0.18181818181818182,-0.16129032258064516,-0.4230769230769231,-0.3939393939393939,-0.3023255813953488,-0.45806451612903226,-0.5294117647058824
7,-0.3023255813953488,-0.14285714285714285,-0.10638297872340426,0.02564102564102564,-0.09859154929577464,-0.28888888888888886,-0.4222222222222222,-0.6060606060606061,-0.5214723926380368,-0.3870967741935484
8,-0.20634920634920634,-0.07142857142857142,0.1,-0.018867924528301886,0.047619047619047616,-0.3076923076923077,-0.746031746031746,-0.5714285714285714,-0.5574468085106383,-0.47540983606557374
9,-0.15942028985507245,-0.06666666666666667,-0.21052631578947367,0.0,-0.26666666666666666,-0.4805194805194805,-0.4782608695652174,-0.5686274509803921,-0.5079872204472844,-0.46153846153846156
10,-0.023255813953488372,-0.2826086956521739,-0.015384615384615385,0.05405405405405406,-0.010309278350515464,-0.5526315789473685,-0.3894736842105263,-0.5813953488372093,-0.60932944606414,-0.6941176470588235
11,0.02702702702702703,-0.2871287128712871,-0.10679611650485436,-0.102803738317757,0.010309278350515464,-0.5698924731182796,-0.4188034188034188,-0.6363636363636364,-0.551219512195122,-0.3333333333333333
12,-0.16363636363636364,-0.025906735751295335,0.0,0.02197802197802198,-0.1348314606741573,-0.4972677595628415,-0.3672316384180791,-0.643979057591623,-0.5767195767195767,-0.375
13,-0.1388888888888889,-0.17142857142857143,0.004878048780487805,-0.11737089201877934,0.05154639175257732,-0.5204081632653061,-0.4153846153846154,-0.507537688442211,-0.5675675675675675,-0.41116751269035534
14,-0.15789473684210525,-0.1751412429378531,-0.24022346368715083,-0.03260869565217391,-0.03225806451612903,-0.4787234042553192,-0.38372093023255816,-0.5266272189349113,-0.5232120451693852,-0.4891304347826087
15,-0.20930232558139536,0.012345679012345678,-0.11475409836065574,0.005235602094240838,0.05194805194805195,-0.38372093023255816,-0.5180722891566265,-0.3582887700534759,-0.5297450424929179,-0.4268292682926829
16,-0.1875,-0.19553072625698323,-0.047619047619047616,-0.01818181818181818,0.0,-0.38144329896907214,-0.2676056338028169,-0.5033557046979866,-0.555878084179971,-0.5121951219512195
17,0.12790697674418605,-0.042682926829268296,-0.05113636363636364,0.09523809523809523,-0.02040816326530612,-0.0390625,-0.32450331125827814,-0.43243243243243246,-0.3685092127303183,-0.42045454545454547
18,0.24096385542168675,0.3291139240506329,0.23717948717948717,0.19333333333333333,0.3619631901840491,0.3230769230769231,0.12280701754385964,-0.06338028169014084,-0.24508050089445438,-0.1891891891891892
19,0.5378151260504201,0.5084745762711864,0.5196850393700787,0.5984251968503937,0.5307692307692308,0.6,0.5801526717557252,0.29545454545454547,0.08151093439363817,0.08130081300813008
20,0.6458333333333334,0.7281553398058253,0.7207207207207207,0.7448559670781894,0.6712962962962963,0.7937219730941704,0.8114035087719298,0.7896995708154506,0.46006749156355453,0.18719211822660098
21,1.32,1.3043478260869565,1.3888888888888888,1.4734513274336283,1.4086956521739131,1.4264705882352942,1.3775510204081634,1.4387755102040816,1.3511166253101736,1.0233644859813085
